N,P,K,temperature,humidity,ph,rainfall,label
71.39,47.34,40.09,25.41,93.24,6.4,270.15,rice
81.53,39.45,32.49,31.81,82.83,6.01,223.32,rice
68.03,56.36,36.39,28.02,95.39,6.1,254.66,rice
80.28,42.47,46.57,27.14,91.02,6.84,291.42,rice
56.15,44.09,45.77,36.22,59.59,7.64,66.8,cotton
82.62,49.07,56.73,27.22,89.13,6.26,168.08,sugarcane
69.11,41.99,45.62,32.5,75.68,5.92,193.64,rice
74.52,40.38,40.68,24.87,76.58,6.46,215.35,rice
83.38,39.05,41.28,24.53,87.33,6.77,279.3,rice
62.87,56.06,35.73,19.84,68.12,7.35,106.91,maize
89.01,48.95,36.69,37.74,68.68,6.67,124.63,sugarcane
39.13,50.44,39.21,21.23,53.62,6.79,61.78,pulses
92.18,54.29,53.37,27.08,82.65,6.9,238.53,sugarcane
45.39,44.21,42.3,21.12,56.12,7.37,32.75,millets
41.66,60.92,21.98,25.56,67.31,6.94,50.19,groundnut
67.86,46.84,46.5,31.91,57.97,7.1,64.93,maize
44.5,33.38,31.18,21.48,43.16,7.2,67.77,pulses
41.22,48.38,43.82,33.34,50.06,6.55,69.46,pulses
44.1,38.18,31.22,20.28,45.36,7.18,41.44,millets
65.59,48.3,36.11,22.73,56.61,6.63,87.98,maize
93.96,46.53,44.53,34.8,76.96,6.7,106.61,sugarcane
63.67,44.8,62.68,23.55,52.56,6.38,65.46,cotton
80.49,42.42,27.4,20.14,56.78,7.16,97.5,maize
55.38,39.46,44.63,20.54,52.47,6.64,43.42,maize
23.31,55.38,37.23,31.3,59.3,7.75,72.42,pulses
72.09,48.37,46.64,21.4,56.24,6.16,122.11,maize
98.23,58.66,51.22,25.09,85.82,6.39,142.11,sugarcane
85.5,42.55,34.3,28.06,83.21,6.91,324.25,rice
63.21,50.13,102.46,25.43,75.25,5.58,244.93,coconut
78.02,51.82,63.64,33.24,88.58,6.85,162.59,sugarcane
82.71,51.56,41.74,22.97,92.84,6.41,298.54,rice
62.73,44.64,39.69,32.81,55.77,6.73,45.87,maize
65.0,46.15,47.22,27.88,64.98,6.79,110.98,cotton
77.73,52.06,63.71,28.2,82.81,6.09,183.25,coconut
94.65,34.57,52.16,25.91,75.09,6.68,185.68,sugarcane
50.15,49.33,66.95,19.13,73.42,6.07,191.08,coffee
59.2,55.9,43.97,27.92,66.57,6.57,120.34,cotton
42.11,44.36,47.9,22.02,46.9,7.36,42.9,millets
50.91,48.01,25.77,19.4,49.11,6.65,102.92,pulses
52.51,44.83,39.07,32.8,44.25,7.16,88.93,pulses
68.38,51.23,51.33,29.58,63.0,6.36,84.47,cotton
58.6,34.99,33.69,23.4,64.96,7.3,102.08,millets
75.65,52.01,38.17,28.02,86.73,6.93,367.24,rice
87.22,40.79,41.17,29.7,81.42,6.55,213.92,rice
83.13,50.26,34.75,22.39,75.82,7.03,176.77,rice
34.77,51.12,32.92,21.44,65.08,6.72,91.87,pulses
95.65,45.26,67.54,24.87,94.23,6.26,185.28,banana
80.59,54.98,36.11,21.53,53.54,6.38,70.08,maize
66.17,46.65,39.06,23.68,60.76,7.1,131.8,maize
48.43,42.24,45.04,27.65,49.32,7.34,53.99,pulses
33.71,46.95,42.78,22.83,58.9,7.73,111.87,groundnut
49.37,42.77,66.94,26.67,53.29,7.17,112.5,cotton
89.4,46.09,42.67,25.09,71.54,7.07,109.36,sugarcane
71.44,40.83,37.53,32.12,74.4,5.87,149.13,rice
43.4,37.21,44.45,34.91,51.09,6.43,77.58,millets
22.22,51.27,44.89,26.35,55.55,7.3,56.25,groundnut
80.05,40.12,41.56,32.17,83.11,6.99,251.9,rice
75.5,47.54,41.34,25.16,87.86,7.02,318.35,rice
40.04,37.32,45.25,30.57,68.36,6.88,111.15,millets
37.09,57.55,32.49,24.53,75.03,6.77,64.15,groundnut
73.97,54.47,51.59,28.95,63.48,7.62,42.83,cotton
48.21,36.42,34.48,32.06,44.0,6.6,65.51,pulses
65.3,54.08,31.21,22.54,67.46,6.62,79.21,maize
74.05,40.8,58.02,28.93,49.71,7.63,93.53,cotton
102.24,37.98,49.96,32.12,59.87,6.85,125.11,sugarcane
47.39,37.74,37.66,34.52,32.42,6.62,55.42,millets
58.33,39.55,86.84,33.76,77.71,7.1,213.9,coconut
44.84,38.92,38.59,26.14,39.53,7.18,29.9,pulses
32.98,32.39,55.64,23.82,37.14,6.36,22.35,millets
69.35,57.03,53.62,28.12,55.81,6.86,82.87,cotton
71.48,56.99,41.25,32.6,51.51,7.38,105.71,maize
80.9,46.74,34.91,21.36,96.32,6.33,287.55,rice
46.45,45.72,35.57,28.48,55.16,7.83,73.35,pulses
45.65,60.25,45.27,21.72,81.18,6.43,185.84,coffee
54.84,43.57,36.1,31.13,66.09,6.66,97.54,pulses
36.3,29.97,32.55,18.97,58.01,6.56,109.72,millets
76.77,35.98,48.71,26.48,85.61,7.29,252.01,rice
73.78,48.6,63.6,31.53,48.63,7.19,41.71,cotton
79.4,48.32,44.23,21.09,86.66,7.0,313.47,rice
78.18,56.77,54.46,30.7,73.09,7.32,132.63,sugarcane
76.38,49.09,61.95,22.17,66.12,6.53,244.51,sugarcane
109.7,43.34,65.57,28.24,84.48,6.94,209.53,banana
31.54,38.77,36.74,21.47,59.16,7.02,38.4,pulses
81.69,39.99,56.3,28.49,71.08,6.33,265.27,sugarcane
92.97,44.87,63.0,29.18,79.23,6.09,206.57,banana
71.38,56.17,45.17,30.11,60.41,6.52,121.37,maize
60.75,47.94,32.36,29.01,40.53,6.88,22.1,pulses
79.6,39.13,38.92,21.38,96.78,6.21,256.7,rice
70.89,53.11,62.52,23.85,47.24,6.4,62.61,cotton
78.45,44.14,39.27,29.88,53.36,6.96,70.45,maize
57.36,49.43,52.01,31.78,57.99,7.09,46.8,millets
55.67,48.3,32.21,31.4,55.29,7.52,74.59,groundnut
42.1,43.87,52.05,27.02,48.41,7.22,77.98,millets
66.66,48.66,38.83,27.63,81.98,6.14,290.54,rice
65.8,42.76,37.65,23.56,75.49,7.05,187.1,rice
82.19,39.79,48.5,31.18,89.76,6.74,276.88,rice
69.94,52.41,37.05,28.68,83.66,7.05,272.24,rice
78.1,57.86,45.32,27.18,67.26,6.25,142.97,maize
44.85,57.01,33.43,23.98,50.88,6.27,66.34,pulses
34.53,39.96,36.09,29.67,46.09,6.34,52.98,pulses
72.45,41.14,45.98,24.47,81.5,6.78,285.81,rice
49.85,34.06,38.92,18.08,55.33,6.48,110.47,pulses
63.01,46.08,47.24,31.78,69.74,7.33,35.69,maize
51.11,51.14,38.17,23.68,62.74,7.42,35.33,pulses
79.51,43.78,41.93,28.29,88.64,6.97,268.43,rice
34.57,42.07,44.91,29.61,48.13,7.71,27.81,pulses
71.25,51.27,38.16,20.06,50.66,6.58,101.98,maize
63.85,45.49,42.41,28.19,60.87,7.4,77.28,millets
39.64,50.69,47.11,33.76,66.12,6.56,63.92,groundnut
86.46,40.28,46.46,28.87,92.24,7.18,216.54,rice
46.6,41.9,31.42,35.89,55.0,7.64,60.83,groundnut
61.31,49.14,42.43,20.13,58.01,6.85,84.93,maize
92.45,45.55,57.89,22.94,67.54,7.39,218.23,sugarcane
90.75,51.59,42.0,27.7,82.19,6.67,200.06,rice
101.0,36.96,42.59,25.76,77.89,7.26,126.53,sugarcane
78.83,58.3,52.43,31.21,75.82,6.75,163.46,sugarcane
55.31,46.13,53.93,32.27,46.48,7.29,173.73,cotton
74.2,47.87,56.34,35.53,85.03,6.86,132.49,sugarcane
79.81,54.33,39.97,30.15,82.62,5.87,206.35,rice
88.54,51.4,43.37,31.93,72.12,6.69,117.03,sugarcane
38.03,42.04,46.9,30.73,67.73,6.82,82.11,millets
66.78,41.62,40.08,28.84,68.25,7.21,85.97,maize
71.56,34.85,35.85,29.09,87.27,6.62,173.66,rice
54.41,33.95,32.67,21.5,65.19,6.95,91.9,pulses
91.76,42.87,40.11,23.63,95.64,7.01,229.63,rice
59.07,44.85,58.21,34.31,49.29,7.34,71.71,cotton
39.23,43.64,29.39,24.52,67.19,7.3,64.16,groundnut
50.68,44.38,50.35,27.01,67.87,7.29,66.59,cotton
47.74,58.67,26.69,23.92,46.59,7.85,92.77,pulses
32.12,57.78,33.69,25.32,52.29,6.46,61.33,pulses
78.06,50.66,59.98,33.67,78.41,6.77,178.25,sugarcane
54.32,37.85,62.12,24.94,65.11,6.81,52.33,cotton
30.98,52.06,39.66,32.68,51.68,6.71,89.28,pulses
70.47,40.59,55.88,30.52,48.47,6.98,93.0,cotton
97.07,39.66,55.32,33.97,67.18,6.57,178.29,sugarcane
57.46,46.38,39.9,32.67,75.6,6.19,130.96,maize
84.06,45.46,38.62,26.31,78.96,6.55,254.95,rice
52.8,48.83,40.41,29.05,44.29,7.83,73.43,pulses
73.22,52.3,43.84,29.78,54.44,6.69,56.75,cotton
93.38,62.78,55.08,34.05,78.78,6.33,173.52,banana
49.38,57.0,52.78,26.79,60.98,7.8,121.24,cotton
87.02,43.54,39.35,28.01,84.85,6.04,145.64,rice
83.78,60.6,71.66,21.37,71.23,7.11,199.03,banana
64.47,49.4,47.09,31.62,65.98,7.2,66.66,maize
47.77,45.56,50.55,30.79,65.6,6.87,41.18,cotton
54.79,32.75,44.11,36.22,49.37,7.45,42.6,millets
48.2,35.93,33.51,25.42,66.36,6.47,41.32,millets
80.26,46.29,38.08,31.15,82.53,6.24,348.89,rice
76.34,47.54,43.91,25.13,60.08,6.91,42.99,maize
62.14,54.51,30.23,31.54,57.57,5.93,66.05,maize
50.54,36.36,51.23,29.65,43.25,6.69,75.27,millets
72.69,49.79,39.96,25.07,79.16,6.69,249.19,rice
48.66,50.37,32.96,33.2,44.61,7.76,53.16,pulses
65.46,48.01,38.55,34.14,49.21,6.93,48.58,maize
65.76,49.3,40.75,32.54,89.57,6.52,206.07,rice
80.46,50.91,44.0,33.47,82.44,6.52,147.12,sugarcane
56.2,56.28,50.03,27.79,67.58,6.55,105.19,cotton
73.03,38.56,40.33,27.11,91.45,6.04,251.43,rice
85.94,56.43,44.18,23.36,95.16,6.13,331.08,rice
67.12,33.69,42.09,26.52,40.07,6.61,45.75,millets
88.25,39.12,35.99,25.09,89.73,6.45,201.48,rice
58.42,40.46,31.63,21.02,55.39,6.41,74.38,maize
31.57,45.16,33.51,20.37,44.42,6.72,20.72,pulses
65.85,51.22,46.87,21.13,90.03,6.64,350.09,rice
33.97,52.61,35.77,25.98,50.73,6.4,90.55,pulses
46.87,29.22,31.01,21.57,51.0,7.79,106.28,millets
57.95,56.47,59.92,36.41,58.72,6.74,87.31,cotton
77.7,46.83,55.62,24.58,86.78,6.95,204.8,sugarcane
81.01,40.97,47.22,27.6,84.3,6.29,289.86,rice
68.06,51.63,42.99,30.29,49.63,6.82,107.73,cotton
43.68,45.4,32.6,25.4,51.38,7.38,33.69,groundnut
81.57,43.24,45.14,31.09,90.23,6.05,287.69,rice
66.45,52.32,55.24,24.15,51.92,7.07,109.28,cotton
69.87,49.32,63.95,28.35,52.27,7.04,78.21,cotton
41.86,42.06,41.77,25.13,36.78,7.62,43.93,millets
65.76,40.91,50.71,25.95,88.11,6.46,170.9,rice
47.69,55.13,34.44,31.21,53.99,6.43,67.51,groundnut
74.92,39.26,31.34,22.28,70.74,6.73,71.77,maize
89.13,55.41,52.37,30.72,79.95,6.61,162.65,sugarcane
44.13,41.08,53.73,32.55,49.96,7.12,39.44,millets
68.42,46.31,70.98,24.66,90.0,5.71,382.89,coconut
58.77,56.07,26.6,19.86,68.66,7.13,134.63,maize
71.32,42.79,30.34,21.67,50.06,6.38,69.48,maize
67.72,43.67,45.84,31.61,53.58,6.6,56.28,cotton
69.14,46.14,49.87,28.27,57.62,7.38,60.12,cotton
61.0,39.52,21.16,24.63,56.31,7.3,54.67,pulses
55.83,44.52,51.15,33.33,67.48,7.02,89.68,cotton
54.57,37.26,45.23,36.92,41.27,6.98,46.17,millets
52.16,23.15,32.67,33.02,52.37,6.85,46.51,millets
47.76,52.46,46.49,25.84,62.99,6.58,164.82,cotton
64.53,43.06,32.83,25.09,45.22,6.42,83.11,millets
79.03,45.98,46.89,27.68,83.14,6.11,255.92,rice
40.72,38.15,39.19,23.43,47.66,7.81,109.45,millets
52.86,29.07,37.01,25.22,48.24,6.91,40.95,millets
68.12,44.38,43.29,32.18,87.55,6.63,249.81,rice
91.34,51.1,42.1,31.8,86.42,6.71,222.14,sugarcane
37.82,33.97,30.17,21.69,51.55,6.21,72.37,pulses
58.07,27.57,36.28,28.99,56.56,6.35,32.44,millets
78.51,36.74,35.4,21.3,86.72,6.89,197.34,rice
48.78,28.13,45.96,36.31,41.63,6.71,29.75,millets
82.58,45.77,43.0,21.01,86.6,7.02,281.31,rice
46.45,44.48,40.74,33.81,53.86,7.25,49.04,cotton
39.36,46.04,31.38,28.16,67.95,6.92,93.49,groundnut
68.41,45.74,33.29,24.02,72.81,6.42,144.81,maize
32.59,56.23,38.65,31.96,73.94,7.09,83.45,groundnut
66.91,34.75,42.2,29.56,53.59,7.01,127.93,maize
83.16,51.69,67.66,34.63,73.3,7.58,149.61,sugarcane
47.29,68.56,36.64,33.48,53.73,6.94,40.23,groundnut
68.85,40.98,37.63,26.91,37.15,6.86,51.99,millets
56.66,48.6,33.48,32.62,56.47,6.55,101.22,groundnut
69.6,54.37,45.34,30.62,81.87,6.73,356.95,rice
47.21,47.89,34.53,31.43,52.13,6.45,40.01,millets
49.53,43.92,52.2,22.59,39.36,6.62,41.37,millets
49.73,44.17,44.27,31.06,62.68,7.4,24.71,pulses
84.42,40.74,48.25,31.33,91.41,6.12,222.36,rice
58.8,42.06,61.11,26.86,50.44,6.89,122.15,cotton
63.08,55.88,57.95,31.8,56.51,6.9,75.03,cotton
56.2,35.3,38.26,20.09,60.99,7.06,74.54,millets
99.14,57.4,73.63,23.33,96.74,6.68,258.48,banana
87.29,39.24,41.71,24.72,75.27,6.55,215.42,rice
80.38,54.34,45.62,19.96,50.44,7.39,55.75,maize
55.87,53.3,58.06,32.18,67.08,6.76,151.12,cotton
54.84,45.98,30.01,22.75,60.58,6.39,66.27,pulses
49.47,52.81,24.43,26.84,45.94,7.0,91.18,pulses
70.6,52.89,48.05,25.09,69.35,7.4,116.37,maize
36.85,48.85,57.15,25.21,77.58,6.01,113.05,coffee
52.2,45.72,35.64,32.31,43.68,6.81,74.9,millets
69.68,48.37,48.34,35.53,60.28,6.68,81.29,cotton
48.65,43.81,41.66,34.96,36.75,7.97,63.48,millets
49.64,56.53,60.11,29.57,48.01,6.98,75.67,cotton
37.8,45.15,32.68,26.53,45.06,6.61,93.56,pulses
79.58,48.42,47.15,28.29,77.44,6.43,214.62,rice
71.3,48.21,51.77,29.05,72.09,6.44,164.43,rice
100.77,58.09,69.7,31.61,82.03,7.28,276.14,banana
39.97,46.82,40.33,34.17,47.2,7.08,114.68,pulses
39.61,35.47,46.18,26.02,41.01,7.27,74.2,pulses
68.91,44.16,29.17,32.61,61.55,7.45,29.34,pulses
75.35,39.08,35.28,27.05,80.26,6.77,260.88,rice
60.05,43.73,41.02,32.23,38.25,6.14,64.15,millets
47.83,56.11,34.12,26.94,54.28,6.77,86.68,pulses
87.06,38.15,44.62,30.44,72.32,6.25,201.18,rice
31.42,48.25,51.98,25.57,61.27,6.42,80.18,groundnut
76.12,47.44,55.56,35.0,58.58,6.88,72.75,cotton
67.94,46.83,45.62,26.3,74.64,6.18,180.13,rice
29.07,50.02,30.71,23.11,49.7,6.98,46.2,pulses
37.75,47.06,47.44,26.03,64.0,7.63,72.99,groundnut
94.7,49.16,41.59,25.3,83.48,6.11,346.42,rice
68.81,51.21,39.51,28.74,88.41,6.24,220.89,rice
70.9,52.64,57.98,34.93,65.62,6.44,86.63,cotton
65.94,52.55,40.5,31.05,65.29,7.04,94.97,maize
72.08,48.85,39.6,21.23,77.46,6.91,264.57,rice
63.81,51.8,39.92,27.31,85.07,6.51,160.66,rice
74.41,44.71,36.05,31.71,56.43,6.76,82.44,maize
34.89,53.45,27.68,25.31,62.99,6.74,38.7,pulses
75.97,40.94,31.38,19.44,47.03,6.52,42.89,maize
72.06,51.82,65.45,23.66,59.03,7.18,141.99,cotton
58.78,55.5,45.24,29.01,54.12,6.57,53.87,pulses
83.35,44.47,34.56,29.76,58.99,7.1,153.34,maize
48.77,30.7,31.71,23.83,38.88,6.48,60.51,millets
31.92,44.57,33.72,31.31,43.42,6.81,30.85,pulses
90.94,40.6,38.5,24.91,78.51,6.26,129.01,rice
63.61,44.91,41.88,19.02,48.11,6.38,45.66,pulses
78.47,51.83,40.49,23.47,78.89,6.34,141.05,rice
42.76,42.0,38.27,27.04,43.16,6.27,86.32,millets
94.89,49.56,61.19,25.3,79.72,7.36,140.54,sugarcane
48.09,62.68,34.61,35.56,54.49,7.64,51.14,groundnut
66.18,56.74,55.11,34.97,73.64,6.98,74.06,cotton
53.04,39.12,45.08,27.09,49.69,6.43,68.21,groundnut
63.82,51.99,57.21,28.19,42.18,6.49,41.19,cotton
79.73,40.03,61.47,26.86,68.41,7.01,111.97,sugarcane
30.88,45.6,33.26,28.91,45.14,6.67,58.05,pulses
86.01,38.37,43.83,30.66,85.45,6.17,271.76,rice
68.1,50.16,36.5,21.7,73.48,6.98,135.88,rice
53.23,39.7,47.31,23.88,38.4,7.57,24.32,millets
81.72,49.31,50.09,23.24,84.23,6.25,201.55,rice
71.93,41.65,39.84,23.61,79.54,7.12,175.89,rice
58.38,29.6,32.76,27.78,39.09,6.93,106.39,millets
55.03,39.34,50.19,36.75,50.48,6.51,52.08,cotton
46.72,45.21,36.77,18.39,71.57,6.48,77.86,pulses
62.93,41.82,57.41,32.73,46.09,6.32,86.26,cotton
42.27,54.74,45.62,28.54,50.14,7.51,41.66,groundnut
62.52,46.74,62.26,31.11,47.53,6.81,135.82,cotton
70.38,46.86,31.38,19.43,66.16,7.45,128.17,maize
80.71,50.86,44.27,24.76,77.73,6.58,138.04,rice
57.63,30.97,37.81,28.91,52.55,6.63,71.5,millets
84.93,45.85,37.37,27.42,73.39,7.04,133.23,rice
38.08,37.79,26.39,20.32,50.24,6.99,80.2,millets
72.15,54.38,39.27,32.9,63.99,7.15,84.59,maize
66.69,47.99,41.53,31.96,46.66,6.89,134.0,cotton
74.02,43.19,44.09,25.74,86.84,6.37,234.77,rice
43.78,45.08,44.02,25.35,44.9,6.66,55.88,millets
56.83,52.23,54.69,26.68,58.32,6.86,106.82,cotton
39.22,40.11,46.63,30.89,75.34,7.15,89.69,groundnut
71.43,47.28,42.71,29.32,84.62,7.06,324.12,rice
70.05,45.45,72.99,24.28,71.03,5.9,346.22,coconut
48.35,47.74,57.17,25.3,50.49,7.5,129.85,cotton
82.69,53.98,47.11,25.42,70.72,6.14,136.09,sugarcane
70.44,59.38,27.58,24.9,73.79,7.02,90.05,maize
47.49,33.87,33.7,20.59,63.96,6.76,30.5,pulses
81.71,43.67,88.1,31.09,86.29,7.02,363.17,coconut
52.13,41.0,62.54,29.11,66.83,7.16,95.54,cotton
57.46,48.32,29.44,26.14,65.98,7.1,98.52,maize
36.73,33.4,30.09,23.32,52.35,7.1,112.09,pulses
57.71,59.4,36.16,26.78,47.71,6.35,109.32,pulses
67.01,40.22,42.67,33.26,65.59,7.55,151.3,cotton
108.99,58.92,44.32,28.49,76.26,7.48,278.44,sugarcane
70.87,48.49,50.72,24.84,82.14,6.83,376.11,rice
91.29,37.95,47.21,22.43,79.67,6.1,156.61,rice
82.42,55.78,39.59,32.43,81.57,6.58,208.67,rice
79.36,53.84,46.61,33.16,75.55,7.26,168.08,sugarcane
38.98,44.07,54.87,22.84,57.77,7.5,51.0,millets
36.49,48.1,37.67,27.14,40.14,7.23,50.83,pulses
47.24,48.95,38.26,29.98,61.58,7.67,43.3,pulses
97.85,53.22,42.88,26.07,75.19,7.33,228.52,sugarcane
69.74,41.54,31.11,31.97,64.45,7.43,83.8,maize
83.24,42.53,40.77,30.32,85.81,6.31,144.98,rice
84.08,47.42,40.48,20.93,76.37,6.2,150.5,rice
44.85,59.49,47.31,29.9,45.24,7.28,79.98,cotton
74.62,52.97,49.22,32.83,53.02,6.3,58.87,cotton
55.87,56.96,42.5,34.27,64.22,7.47,79.05,pulses
90.27,42.92,49.85,25.24,78.73,6.42,178.4,rice
85.97,38.1,50.32,29.21,68.07,7.64,163.29,sugarcane
51.03,38.88,42.91,36.28,52.44,7.78,68.56,millets
38.44,51.62,25.68,22.01,74.81,7.14,93.07,groundnut
53.39,29.52,44.1,33.48,47.64,6.31,70.44,millets
52.78,55.14,47.13,33.27,53.51,6.75,47.81,cotton
32.78,57.14,38.63,31.39,69.12,6.25,49.3,pulses
78.58,53.53,42.8,19.77,74.33,7.13,123.88,maize
95.78,48.24,42.48,30.8,85.39,6.91,237.52,sugarcane
89.92,52.01,74.16,34.49,90.85,6.09,211.39,banana
42.78,50.94,37.99,23.57,56.13,6.99,96.28,groundnut
73.2,45.72,48.03,25.67,76.68,6.82,247.73,rice
43.57,34.6,39.37,31.58,57.1,6.42,52.71,pulses
105.62,55.78,46.64,34.17,68.11,6.55,94.54,sugarcane
88.13,54.11,34.87,22.17,53.56,6.25,73.27,maize
63.66,43.53,49.39,30.17,54.36,6.87,70.62,cotton
58.64,53.59,52.4,26.8,49.69,7.66,69.0,cotton
94.7,53.67,38.49,21.51,79.27,6.19,269.65,rice
42.11,55.38,33.32,23.18,78.82,6.51,91.37,groundnut
47.42,52.35,50.87,21.74,87.6,5.57,210.45,coffee
61.58,45.39,35.9,24.34,47.45,7.64,51.95,pulses
41.28,38.99,45.47,24.43,51.59,7.83,74.76,millets
45.72,39.82,35.42,22.79,68.86,7.47,84.1,pulses
83.17,47.19,50.61,24.54,90.73,6.39,278.79,rice
77.56,44.81,34.97,30.22,62.61,6.91,134.45,maize
72.64,51.72,31.81,25.48,80.16,6.25,198.91,rice
53.33,39.59,52.37,30.47,64.4,6.76,63.6,cotton
99.85,52.5,60.07,34.89,64.02,6.35,145.34,sugarcane
63.67,50.74,52.1,24.34,62.42,7.59,66.55,cotton
102.27,55.91,51.3,27.81,66.81,7.27,152.39,sugarcane
48.03,50.94,41.21,20.2,49.98,7.48,41.19,pulses
41.18,41.71,43.98,26.81,41.34,7.79,51.78,millets
47.42,39.47,29.47,30.04,41.93,6.36,89.59,pulses
40.33,36.91,30.68,33.65,57.84,7.33,33.87,millets
87.21,56.0,66.86,30.08,78.5,6.7,91.06,sugarcane
67.5,56.31,63.68,32.46,59.08,7.39,81.66,cotton
84.36,43.93,36.58,23.26,80.6,6.86,238.12,rice
80.38,42.18,39.9,24.73,61.37,6.52,137.2,sugarcane
39.62,36.2,42.21,23.81,58.06,6.95,56.1,millets
51.94,38.18,42.49,30.38,47.77,7.51,72.79,maize
96.2,42.94,56.97,27.76,88.19,6.98,160.42,sugarcane
61.66,58.92,47.43,32.53,58.91,7.52,98.73,cotton
92.27,51.5,44.56,27.86,63.04,6.39,108.58,sugarcane
76.08,48.7,35.48,19.38,60.0,7.56,95.18,maize
92.56,41.38,54.37,23.76,76.54,6.29,135.46,sugarcane
79.39,41.15,50.2,28.33,87.7,6.45,246.56,rice
80.89,48.61,41.03,19.76,92.1,6.43,325.83,rice
84.36,40.61,45.69,19.8,56.57,6.58,128.98,maize
52.7,55.87,56.18,31.79,64.73,7.48,69.22,cotton
58.66,27.62,32.71,26.92,66.42,7.2,87.59,millets
78.22,62.49,64.28,24.16,70.09,7.17,118.15,banana
35.41,43.15,32.74,19.13,58.74,7.02,29.4,pulses
85.92,57.51,36.52,25.43,85.55,6.52,246.09,rice
55.24,33.1,47.39,20.53,41.65,6.34,85.73,millets
54.56,50.59,32.86,18.11,59.92,7.01,40.68,pulses
72.79,36.18,41.91,21.67,79.15,6.2,234.25,rice
69.0,52.0,36.77,30.32,52.56,6.25,100.17,maize
39.54,49.78,40.55,23.68,47.88,7.36,80.18,pulses
47.63,47.1,37.9,36.66,33.53,7.14,26.52,millets
71.82,53.88,34.13,23.65,56.43,7.22,56.2,maize
81.5,49.87,31.52,31.21,76.61,6.89,257.38,rice
39.33,41.17,38.08,26.77,51.51,6.75,107.34,millets
57.31,28.91,35.46,31.77,33.36,6.27,76.22,millets
50.28,41.21,40.06,35.99,51.22,7.55,46.57,millets
61.11,41.88,61.02,37.31,46.49,6.73,90.18,cotton
105.75,56.9,45.1,33.5,78.57,6.28,175.1,banana
73.62,49.33,55.85,33.82,50.72,7.69,56.23,cotton
98.35,41.02,61.47,31.84,87.07,6.35,255.96,sugarcane
84.24,42.99,40.01,30.22,77.1,5.95,196.01,rice
65.44,42.66,34.84,27.46,62.94,6.84,103.31,maize
70.11,39.84,44.95,24.66,78.99,6.73,211.66,rice
28.94,50.73,30.51,20.09,52.16,7.53,51.81,pulses
53.52,53.38,50.21,29.11,45.42,7.21,97.68,cotton
35.47,33.42,38.78,20.55,62.1,7.51,87.44,millets
72.53,38.8,39.99,21.8,81.67,5.87,224.08,rice
85.54,50.23,41.44,23.03,94.92,6.53,374.39,rice
81.93,53.15,54.45,23.13,66.66,6.63,119.11,sugarcane
66.18,40.15,43.8,22.58,87.5,6.9,137.59,rice
49.36,50.92,60.88,34.51,73.77,7.08,123.9,cotton
42.18,47.32,48.06,32.92,60.87,7.51,106.17,groundnut
88.0,48.04,35.19,26.42,72.71,6.83,217.75,rice
71.85,56.75,38.98,26.78,63.9,6.4,133.22,maize
94.31,38.85,50.61,25.45,68.19,7.09,119.54,sugarcane
88.47,45.71,49.58,31.84,88.27,6.47,184.6,sugarcane
46.93,43.21,35.59,23.34,40.33,7.07,84.86,millets
91.21,58.65,58.54,19.25,76.13,7.33,226.7,banana
81.99,39.1,55.46,27.75,69.13,6.83,159.05,sugarcane
71.0,56.44,29.13,22.8,68.67,7.34,99.35,maize
77.31,48.98,65.89,32.47,96.9,6.98,160.67,banana
52.95,55.54,33.83,21.65,59.17,6.41,105.88,maize
58.89,50.8,32.88,22.81,68.8,6.78,94.25,maize
47.84,43.03,37.36,23.78,47.99,6.95,38.15,pulses
37.7,48.79,34.75,22.89,70.75,6.73,49.94,pulses
85.57,42.2,38.12,23.0,91.95,7.04,208.54,rice
40.08,32.5,50.57,24.8,37.66,6.72,31.28,millets
31.53,45.89,35.92,21.97,39.12,7.26,41.71,millets
73.73,47.54,44.82,24.23,44.49,6.85,39.91,cotton
46.39,46.62,31.52,22.19,56.01,6.59,63.02,groundnut
44.95,47.06,49.15,31.68,48.13,7.6,69.19,millets
69.16,42.55,33.48,19.34,57.41,6.6,88.29,maize
51.82,30.37,34.93,29.04,44.2,6.95,36.75,millets
71.53,45.05,54.13,27.97,88.79,7.09,182.79,sugarcane
70.29,50.11,41.28,19.41,85.71,6.52,280.05,rice
97.45,54.19,66.95,34.81,88.92,6.88,185.96,banana
40.38,35.2,42.67,22.32,62.24,7.75,49.25,millets
77.57,54.11,46.84,28.03,64.11,7.04,183.37,sugarcane
61.89,56.07,38.48,30.53,54.26,7.18,62.72,pulses
30.43,61.58,55.68,23.52,71.95,6.37,67.81,groundnut
86.4,46.65,56.0,21.67,69.97,6.41,185.08,sugarcane
55.36,40.84,47.32,31.03,55.71,7.39,98.22,cotton
71.72,40.62,50.56,22.39,85.61,6.48,306.04,rice
55.4,53.57,56.29,23.17,62.42,6.32,130.55,cotton
77.43,48.11,39.57,20.62,85.36,6.23,269.71,rice
61.7,38.61,35.53,27.58,59.53,6.92,65.26,millets
65.84,50.01,31.34,19.03,65.89,6.42,138.64,maize
41.85,49.87,35.72,19.38,42.31,6.47,48.4,pulses
59.76,39.36,51.92,35.45,42.17,6.75,90.07,cotton
53.01,55.02,67.43,32.41,61.49,7.56,82.33,cotton
83.36,43.73,44.13,31.19,89.61,6.49,297.6,rice
68.94,50.13,35.48,25.36,70.76,6.48,71.31,maize
